YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,PS,WS50M
2018,1,1,0,6.2,92.69,0.06,98.67,13.98
2018,1,1,1,5.65,90.69,0.01,98.9,14.07
2018,1,1,2,4.95,92.25,0.04,99.03,12.05
2018,1,1,3,4.7,94.31,0.18,99.06,11.05
2018,1,1,4,4.79,94.62,0.14,99.0,10.74
2018,1,1,5,4.83,94.69,0.02,98.95,10.73
2018,1,1,6,4.85,94.75,0.01,98.89,10.64
2018,1,1,7,4.94,94.81,0.01,98.83,10.21
2018,1,1,8,5.15,94.81,0.01,98.78,9.16
2018,1,1,9,5.85,93.56,0.01,98.71,8.17
2018,1,1,10,6.72,92.44,0.05,98.67,6.98
2018,1,1,11,7.39,91.12,0.1,98.62,5.57
2018,1,1,12,7.59,89.19,0.09,98.6,6.03
2018,1,1,13,7.28,89.12,0.04,98.62,7.03
2018,1,1,14,6.71,90.0,0.01,98.69,7.87
2018,1,1,15,6.01,90.5,0.0,98.81,9.56
2018,1,1,16,5.56,90.81,0.01,98.93,10.39
2018,1,1,17,5.12,92.38,0.03,99.03,10.99
2018,1,1,18,5.15,92.44,0.02,99.12,12.16
2018,1,1,19,5.51,90.75,0.02,99.21,13.59
2018,1,1,20,6.04,88.31,0.02,99.32,14.53
2018,1,1,21,6.19,85.38,0.01,99.47,14.64
2018,1,1,22,5.69,84.81,0.0,99.62,13.98
2018,1,1,23,4.8,88.88,0.0,99.8,12.85
2018,1,2,0,3.88,94.62,0.0,99.91,10.58
2018,1,2,1,3.4,98.0,0.0,99.99,9.91
2018,1,2,2,3.26,98.62,0.0,100.06,9.33
2018,1,2,3,3.15,98.44,0.0,100.13,8.45
2018,1,2,4,3.13,97.25,0.0,100.14,7.16
2018,1,2,5,3.14,96.81,0.0,100.2,6.55
2018,1,2,6,3.01,97.19,0.0,100.17,5.7
2018,1,2,7,2.99,97.5,0.0,100.15,5.39
2018,1,2,8,3.28,96.94,0.01,100.12,5.89
2018,1,2,9,4.16,95.69,0.1,100.05,6.41
